month_key,ref_date,population_thousands,labour_force_thousands,employment_thousands,unemployment_thousands,full_time_employment_thousands,part_time_employment_thousands,unemployment_rate_percent,participation_rate_percent,employment_rate_percent,employment_mom_change_thousands,employment_yoy_change_thousands,employment_yoy_change_percent,unemployment_rate_mom_change_pp,unemployment_rate_yoy_change_pp
202101,2021-01,12309.7,7918.3,7112.7,805.6,5968.7,1144.0,10.2,64.3,57.8,,,,,
202102,2021-02,12316.9,7984.9,7227.6,757.3,6025.3,1202.3,9.5,64.8,58.7,114.9,,,-0.7,
202103,2021-03,12321.6,7995.3,7371.8,623.5,6124.0,1247.8,7.8,64.9,59.8,144.2,,,-1.7,
202104,2021-04,12325.1,7976.3,7228.9,747.4,6031.9,1197.0,9.4,64.7,58.7,-142.9,,,1.6,
202105,2021-05,12328.1,7945.6,7196.4,749.3,6013.8,1182.5,9.4,64.5,58.4,-32.5,,,0.0,
202106,2021-06,12339.8,8030.1,7324.7,705.4,6044.5,1280.2,8.8,65.1,59.4,128.3,,,-0.6,
202107,2021-07,12353.6,8070.1,7429.9,640.2,6090.4,1339.5,7.9,65.3,60.1,105.2,,,-0.9,
202108,2021-08,12372.1,8083.6,7463.1,620.5,6080.7,1382.4,7.7,65.3,60.3,33.2,,,-0.2,
202109,2021-09,12388.0,8160.1,7553.1,607.0,6189.9,1363.2,7.4,65.9,61.0,90.0,,,-0.3,
202110,2021-10,12406.8,8145.7,7596.9,548.8,6215.8,1381.1,6.7,65.7,61.2,43.8,,,-0.7,
202111,2021-11,12426.7,8191.9,7662.2,529.8,6262.5,1399.7,6.5,65.9,61.7,65.3,,,-0.2,
202112,2021-12,12446.6,8235.2,7716.4,518.8,6317.9,1398.4,6.3,66.2,62.0,54.2,,,-0.2,
202201,2022-01,12465.0,8153.2,7552.3,600.9,6277.9,1274.4,7.4,65.4,60.6,-164.1,439.6,6.2,1.1,-2.8
202202,2022-02,12482.4,8201.6,7737.9,463.7,6351.7,1386.3,5.7,65.7,62.0,185.6,510.3,7.1,-1.7,-3.8
202203,2022-03,12497.9,8198.6,7753.1,445.5,6370.2,1382.9,5.4,65.6,62.0,15.2,381.3,5.2,-0.3,-2.4
202204,2022-04,12513.8,8243.0,7784.2,458.8,6381.8,1402.4,5.6,65.9,62.2,31.1,555.3,7.7,0.2,-3.8
202205,2022-05,12531.4,8235.1,7791.0,444.1,6420.4,1370.6,5.4,65.7,62.2,6.8,594.6,8.3,-0.2,-4.0
202206,2022-06,12549.9,8194.4,7773.1,421.3,6443.5,1329.6,5.1,65.3,61.9,-17.9,448.4,6.1,-0.3,-3.7
202207,2022-07,12570.4,8204.9,7788.2,416.7,6427.2,1360.9,5.1,65.3,62.0,15.1,358.3,4.8,0.0,-2.8
202208,2022-08,12594.4,8216.5,7772.8,443.8,6429.2,1343.6,5.4,65.2,61.7,-15.4,309.7,4.1,0.3,-2.3
202209,2022-09,12617.5,8199.3,7751.2,448.0,6424.4,1326.8,5.5,65.0,61.4,-21.6,198.1,2.6,0.1,-1.9
202210,2022-10,12642.9,8255.8,7804.3,451.5,6422.1,1382.3,5.5,65.3,61.7,53.1,207.4,2.7,0.0,-1.2
202211,2022-11,12666.6,8280.7,7819.5,461.3,6488.3,1331.2,5.6,65.4,61.7,15.2,157.3,2.1,0.1,-0.9
202212,2022-12,12688.7,8303.1,7864.0,439.0,6516.2,1347.8,5.3,65.4,62.0,44.5,147.6,1.9,-0.3,-1.0
202301,2023-01,12719.0,8340.4,7900.4,440.0,6559.8,1340.7,5.3,65.6,62.1,36.4,348.1,4.6,0.0,-2.1
202302,2023-02,12752.8,8363.5,7932.1,431.3,6598.2,1333.9,5.2,65.6,62.2,31.7,194.2,2.5,-0.1,-0.5
202303,2023-03,12787.3,8404.0,7961.7,442.4,6610.9,1350.8,5.3,65.7,62.3,29.6,208.6,2.7,0.1,-0.1
202304,2023-04,12819.1,8414.4,7992.2,422.3,6605.4,1386.8,5.0,65.6,62.3,30.5,208.0,2.7,-0.3,-0.6
202305,2023-05,12857.2,8446.3,7981.3,465.0,6584.8,1396.4,5.5,65.7,62.1,-10.9,190.3,2.4,0.5,0.1
202306,2023-06,12898.6,8507.2,8029.9,477.3,6660.1,1369.8,5.6,66.0,62.3,48.6,256.8,3.3,0.1,0.5
202307,2023-07,12938.4,8513.8,8037.7,476.1,6647.7,1390.0,5.6,65.8,62.1,7.8,249.5,3.2,0.0,0.5
202308,2023-08,12981.3,8544.1,8052.4,491.6,6690.6,1361.9,5.8,65.8,62.0,14.7,279.6,3.6,0.2,0.4
202309,2023-09,13019.3,8564.5,8067.1,497.4,6680.6,1386.5,5.8,65.8,62.0,14.7,315.9,4.1,0.0,0.3
202310,2023-10,13059.9,8584.3,8055.4,529.0,6679.0,1376.4,6.2,65.7,61.7,-11.7,251.1,3.2,0.4,0.7
202311,2023-11,13100.3,8586.5,8063.9,522.5,6668.7,1395.2,6.1,65.5,61.6,8.5,244.4,3.1,-0.1,0.5
202312,2023-12,13142.0,8571.7,8038.2,533.5,6671.7,1366.5,6.2,65.2,61.2,-25.7,174.2,2.2,0.1,0.9
